activation,learning_rate,epochs,hidden_layers,train_accuracy,test_accuracy,train_error,test_error
logistic,0.01,100,2,1.0,1.0,0.0,0.0
logistic,0.01,100,3,1.0,1.0,0.0,0.0
logistic,0.01,200,2,1.0,1.0,0.0,0.0
logistic,0.01,200,3,1.0,1.0,0.0,0.0
logistic,0.1,100,2,1.0,1.0,0.0,0.0
logistic,0.1,100,3,1.0,1.0,0.0,0.0
logistic,0.1,200,2,1.0,1.0,0.0,0.0
logistic,0.1,200,3,1.0,1.0,0.0,0.0
tanh,0.01,100,2,1.0,1.0,0.0,0.0
tanh,0.01,100,3,1.0,1.0,0.0,0.0
tanh,0.01,200,2,1.0,1.0,0.0,0.0
tanh,0.01,200,3,1.0,1.0,0.0,0.0
tanh,0.1,100,2,1.0,1.0,0.0,0.0
tanh,0.1,100,3,1.0,1.0,0.0,0.0
tanh,0.1,200,2,1.0,1.0,0.0,0.0
tanh,0.1,200,3,1.0,1.0,0.0,0.0
relu,0.01,100,2,1.0,1.0,0.0,0.0
relu,0.01,100,3,1.0,1.0,0.0,0.0
relu,0.01,200,2,1.0,1.0,0.0,0.0
relu,0.01,200,3,1.0,1.0,0.0,0.0
relu,0.1,100,2,1.0,1.0,0.0,0.0
relu,0.1,100,3,1.0,1.0,0.0,0.0
relu,0.1,200,2,1.0,1.0,0.0,0.0
relu,0.1,200,3,1.0,1.0,0.0,0.0
